Time,Speed_kmh,SOC_%,Temp_C,Torque_Nm,RPM,Throttle_%,Brake_%,Mode,G_Force,Distance_km,CAN_ID
04:09:31,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:32,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:33,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:34,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:35,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:36,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:37,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:38,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:39,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:40,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:41,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:42,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:43,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:44,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:45,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:46,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:47,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:48,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:49,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:50,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:51,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:52,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:53,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:54,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:55,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:56,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:57,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:58,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:09:59,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:00,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:01,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:02,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:03,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:04,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:05,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:06,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:07,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:08,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:09,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:10,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:11,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:12,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:13,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
